IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.157.162,4,4,0.00,55.85,32.24
104.19.58.117,4,4,0.00,56.44,30.63
104.17.111.110,4,4,0.00,56.26,29.20
172.64.145.211,4,4,0.00,56.32,29.17
104.17.104.58,4,4,0.00,56.47,28.41
104.16.252.147,4,4,0.00,56.04,27.18
104.19.55.244,4,4,0.00,56.00,25.92
104.19.144.65,4,4,0.00,55.49,25.84
104.16.150.106,4,4,0.00,55.92,24.92
104.17.22.115,4,4,0.00,56.54,23.49
